z,E,E/S0,Sa,Sab,Sc,Sbc
0.02,0.039,0.039,0.032,0.036,0.019,0.010
0.04,0.073,0.075,0.060,0.069,0.034,0.019
0.08,0.140,0.139,0.114,0.128,0.062,0.037
0.12,0.214,0.206,0.175,0.184,0.093,0.057
0.16,0.309,0.292,0.253,0.252,0.136,0.090
0.20,0.428,0.406,0.351,0.341,0.191,0.135
0.24,0.563,0.538,0.461,0.440,0.252,0.189
0.28,0.727,0.692,0.595,0.553,0.330,0.254
0.32,0.920,0.876,0.754,0.686,0.429,0.335
0.36,1.108,1.068,0.915,0.829,0.539,0.430
0.40,1.298,1.249,1.070,0.972,0.653,0.535
0.44,1.466,1.413,1.211,1.108,0.760,0.646
0.48,1.613,1.559,1.334,1.228,0.852,0.756
0.52,1.733,1.684,1.435,1.339,0.925,0.860
0.60,1.923,1.904,1.588,1.542,1.019,1.041
0.68,2.118,2.124,1.731,1.722,1.074,1.187
0.76,2.380,2.368,1.907,1.890,1.127,1.308
0.84,2.712,2.628,2.115,2.051,1.182,1.417
0.92,3.052,2.890,2.300,2.203,1.216,1.518
1.00,3.421,3.143,2.473,2.341,1.240,1.606
1.10,3.905,3.438,2.652,2.486,1.251,1.697
1.20,4.343,3.704,2.756,2.591,1.229,1.764
1.30,4.655,3.944,2.778,2.659,1.177,1.806
1.40,4.889,,2.763,2.698,1.113,1.828
1.50,5.106,,2.746,2.714,1.059,1.834
1.60,5.321,,2.730,2.715,1.012,1.826
1.70,5.543,,2.716,2.703,0.973,1.806
1.80,5.769,,2.697,2.681,0.934,1.775
1.90,5.976,,2.668,2.649,0.889,1.731
2.00,6.166,,2.639,2.610,0.848,1.678
2.10,6.343,,2.614,2.566,0.813,1.618
2.20,6.502,,2.598,,0.791,
2.30,6.637,,2.584,,0.771,
2.40,6.735,,2.549,,0.733,
2.50,6.806,,2.506,,0.687,
3.00,6.943,,2.297,,0.471,
